step,loss,ema_loss,lr,ppl,grad_norm
100,10.524219512939453,10.604068245056796,3.2000000000000003e-06,37205.784033247524,1.5461012596471262
200,9.61276626586914,9.696952337705126,6.4000000000000006e-06,14954.480992816329,1.712057501040338
300,9.07608699798584,9.144481709030194,9.600000000000001e-06,8743.684943000126,1.5938556746458485
400,8.516950607299805,8.629897917224984,1.2800000000000001e-05,4998.787226523575,1.3794750078691502
500,8.035021781921387,8.16859256801058,1.6000000000000003e-05,3087.206087031998,1.0729613062705485
600,7.831968307495117,7.811802940196162,1.9200000000000003e-05,2519.884402665333,0.676080025691821
700,7.570839881896973,7.576771708914633,2.2400000000000002e-05,1940.7696145047712,0.5151276330700881
800,7.41831111907959,7.463179960645068,2.5600000000000002e-05,1666.2170878663394,0.3942612435136645
900,7.339693069458008,7.3288740629398035,2.8800000000000002e-05,1540.239294627119,0.3985446165535012
1000,7.252120018005371,7.207839259324911,3.2000000000000005e-05,1411.0932224206474,0.4030473815641893
1100,7.105984210968018,7.110386929365836,3.52e-05,1219.2414852484324,0.42834731633696216
1200,6.929098129272461,6.998425746620251,3.8400000000000005e-05,1021.5722379417255,0.4193979938268775
1300,6.788000583648682,6.8628873384765585,4.16e-05,887.1380291262635,0.42412344681544256
1400,6.74614143371582,6.781231207454549,4.4800000000000005e-05,850.7696698522215,0.5542833356764394
1500,6.684821128845215,6.629279241502501,4.8e-05,800.1675384825955,0.4882233676887703
1600,6.523044109344482,6.591265464089226,5.1200000000000004e-05,680.6471993937429,0.5572984068103548
1700,6.47264289855957,6.50085016761376,5.440000000000001e-05,647.1919312883518,0.5286639009568397
1800,6.520285606384277,6.459745365621508,5.7600000000000004e-05,678.7722193373243,0.5467501029854263
1900,6.539678573608398,6.392168141988021,6.080000000000001e-05,692.0640946176959,0.655299640305246
2000,6.340317726135254,6.303057688934948,6.400000000000001e-05,566.9764259951321,0.5809101171615142
2100,6.150353908538818,6.242251792693189,6.720000000000001e-05,468.8832992250751,0.5759530978805562
2200,6.223686695098877,6.204523869423628,7.04e-05,504.559966065052,0.5618472169514738
2300,6.060488700866699,6.1280035149130985,7.360000000000001e-05,428.5848354690262,0.6917043429034656
2400,6.174019813537598,6.077907298434168,7.680000000000001e-05,480.1121937349851,0.6865409369360562
2500,5.914327621459961,6.010384564633328,8e-05,370.30523368699306,0.6175198169162869
2600,5.903121471405029,5.988720460669685,7.999912513520899e-05,366.17870212144066,0.67434424827236
2700,6.01519775390625,5.957340131446644,7.999650057910536e-05,409.6068322590994,0.6401387133117238
2800,5.988955974578857,5.892423105297996,7.999212644649572e-05,398.99782852381753,0.5972593508459725
2900,5.9071526527404785,5.877068539757719,7.998600292871878e-05,367.65781415226166,0.7557495918487466
